objectid;fisiologia;altura;diametro;pap;perimetro;altura_fus
164172;Caducifolio;7.02020263671875;4.09999990463256;0.660000026226043;0.600000023841857;1.97659802436828
55934;Caducifolio;2.47168183326721;3.29999995231628;0.209999993443489;0.600000023841857;1.36571049690246
146642;Semicaducifolio;3.77095556259155;4.5;0;0.449999988079071;1.17600440979003
60384;Perennifolio;3.45916080474853;3.09999990463256;0.439999997615814;0.75;1.38006973266601
2808;Perennifolio;4.04281711578369;3;0.330000013113022;0.519999980926513;2.02090001106262
46403;Caducifolio;1.98206388950347;4;0;0.360000014305115;1.05829429626464
128818;Caducifolio;1.70000004768371;1;0;0.0799999982118607;0.600000023841857
147261;Caducifolio;1.80891335010528;1.5;0;0.879999995231628;0.381892114877701
74698;Caducifolio;5.56668663024902;1.89999997615814;0.219999998807907;0.349999994039536;2.3444480895996
110655;Caducifolio;1.92078483104705;1.60000002384185;0;0.180000007152557;0.853652477264404
100757;Caducifolio;7.48468112945556;7.40000009536743;0.519999980926513;0.790000021457672;3.14830946922302
69496;Perennifolio;2.08992147445678;2.20000004768371;0;0.709999978542327;0.602614104747772
133644;Caducifolio;8.7227725982666;5.69999980926513;0.720000028610229;0.910000026226043;4.68589115142822
163015;Semicaducifolio;3.33035206794738;3;0;2.09999990463256;0.338416069746017
45642;Perennifolio;6.61973810195922;4.5;0.370000004768372;0.5;2.18788814544677
67911;Perennifolio;1.96757173538208;1.42999994754791;0;0.209999993443489;0.98378586769104
52265;Caducifolio;5.80353212356567;5.6100001335144;0.620000004768371;0.75;1.93782043457031
148584;Caducifolio;3.6586058139801;2.34999990463256;0.479999989271164;0.540000021457672;1.8203250169754
84759;Perennifolio;2.40819549560546;1.29999995231628;0;0.300000011920929;0.802712500095367
41435;Perennifolio;2.01780843734741;1.89999997615814;0.25;0.349999994039536;1.41548633575439
91267;Perennifolio;3.10972356796264;2.29999995231628;0.810000002384185;0.550000011920928;1.69490027427673
162831;Caducifolio;2.45645070075988;;0;0.419999986886978;0.881330549716949
15359;Perennifolio;8.50835514068603;3;0.790000021457672;0.560000002384185;2.63815641403198
1610;Perennifolio;2.40819549560546;1.20000004768371;0;0.270000010728836;0.935451865196228
91963;Caducifolio;2.30610728263854;0.699999988079071;0;0.349999994039536;1.27064323425292
5169;Perennifolio;3.06138396263122;1.39999997615814;0.330000013113022;0.6700000166893;1.6893800497055
165279;Caducifolio;2.45645070075988;2.40000009536743;0.330000013113022;0.439999997615814;1.75461602210998
150702;Caducifolio;5.54795408248901;5.59999990463256;0.469999998807907;0.600000023841857;2.96145701408386
68409;Caducifolio;4.00616836547851;5.19999980926513;0;0.699999988079071;0.953789949417114
5201;Caducifolio;4.42236375808715;2;0.270000010728836;0.349999994039536;2.12659335136413
122918;Perennifolio;1.54999995231628;0.800000011920928;0;0.340000003576279;0.699999988079071
145911;Semicaducifolio;10.1564044952392;6.09999990463256;1.17999994754791;1.03999996185302;3.1540982723236
116969;Perennifolio;0.699999988079071;0.180000007152557;0;0.0199999995529652;0.25
48692;Caducifolio;2.75555968284606;1.79999995231628;0.300000011920929;0.649999976158142;1.31619787216186
146133;Semicaducifolio;12.6705722808837;6.30000019073486;1.54999995231628;1.89999997615814;3.98683452606201
65890;Perennifolio;1.55999994277954;1.14999997615814;0;0.379999995231628;0.5
68305;Perennifolio;2.31514406204223;1.39999997615814;0.129999995231628;0.200000002980232;1.7379548549652
5395;Perennifolio;3.92012548446655;1.79999995231628;0;0.5;0.97103601694107
105146;Caducifolio;4.30734682083129;3.27999997138977;0.129999995231628;0.170000001788139;2.11858439445495
65503;Perennifolio;22.2229309082031;6.5;1.20000004768371;1.60000002384185;10.381516456604
116724;Perennifolio;8.2549934387207;7.69999980926513;0.939999997615814;1.33000004291534;3.15312695503234
110176;Perennifolio;15.200867652893;10;1.27999997138977;1.39999997615814;1.71687078475952
13238;Perennifolio;5.06648588180541;6.40000009536743;0.239999994635582;0.959999978542327;1.7519234418869
153819;Semicaducifolio;18.1028404235839;10.1999998092651;1.72000002861022;2.14000010490417;3.0405797958374
136765;Caducifolio;2.06266522407531;1.47000002861022;0;0.25;0.721932888031005
133222;Semicaducifolio;7.60646963119506;9.80000019073486;0.959999978542327;1.07000005245208;2.10023641586303
8530;Caducifolio;3.24150657653808;2.70000004768371;0;0.419999986886978;0.867434382438659
74630;Perennifolio;3.0572350025177;1.60000002384185;0;0.579999983310699;0.967685520648956
143211;Caducifolio;2.22362565994262;1.89999997615814;0;0.230000004172325;0.998408257961273
149463;Caducifolio;5.08562469482421;5.69999980926513;0.340000003576279;0.430000007152557;2.33018922805786
145364;Semicaducifolio;13.8473567962646;5.30000019073486;0.730000019073486;1.02999997138977;7.4278221130371
144888;Caducifolio;12.867953300476;8.5;0.850000023841857;1.07000005245208;4.87086009979248
13978;Perennifolio;3.17787647247314;3.20000004768371;0;1;0.635526180267333
154031;Semicaducifolio;4.59252643585205;4.96999979019165;0.140000000596046;0.230000004172325;2.24243307113647
162618;Semicaducifolio;1.20000004768371;0.5;0;0.0399999991059303;1
85364;Perennifolio;1.78183674812316;1.39999997615814;0;0.230000004172325;0.646358430385589
148385;Semicaducifolio;2.40098094940185;1.23000001907348;0;0.119999997317791;0.8923020362854
